"Метка часу","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","Who won the 3rd Boer War","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","What tags revolted from National France over the course of the game? Check all that apply","Did National France land on the mainland?","Did Canada land on Britain?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","What path did Austria choose during Ausgleich?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","What path did Russia take?","Who won the RCW?","When did the RCW end?","Who won the Battle for Shanxi?","What was SHX foreign policy towards QIE?","Did Shanxi make it to Contender stage?","As of 1.1.1939, what is the current ruling government of Poland?","If Poland revolted, which side rebelled?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When did German-Japanese war start?","Who won German-Japanese war?","If GEA lost in GEA-JAP war, when did it fall?","If JAP lost in GEA-JAP war, when did it fall?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","Did the GXC civil war happen?","Who won the GXC civil war?","When did the GXC civil war end?"
"2023/06/12 11:16:49 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 2","Did not happen","","PSA","","","","","PSA","1940, quarter 4","Sided with PSA","","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","","","CHA","Yes, was repelled","Yes, was repelled","1941, quarter 1","","1941, quarter 1","No","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 1","Brazil","Pluralism","The Pact","1938, quarter 3","The Cairo Pact","","","","1940, quarter 4","Yes, but OTT still lost the war","Iraq;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","Kirill Romanov (Tsar)","","","Feng Yuxiang (mission timeout)","Did not decide a foreign policy","No","Social Liberal/Social Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 3","1941","Did not happen","1940, quarter 2","Nobody","","","1939","1939","1939","Did not happen","Did not happen","No","Nobody","Could not push into China","Nobody","Did not end","Ma Clique","1939","Nanjing Clique","Quarter 3, 1936","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/12 11:22:24 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 2","GEA (with or without Vietnam)","1936, quarter 4","USA","","","USA","","","1941, quarter 2","Sided with PSA","White peace","Mid 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","1944, quarter 2","1943, quarter 2","No","1940, quarter 3","","","","","NGR;CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Italian Republic/Federation","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1939, quarter 1","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Hejaz;Kurdistan;Armenia;Cyrenaica","Dominion of India","Republic","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 2","1940","After 1945","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1943","Started by Japan","Nobody","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 2, 1937","Avoided - Chen Mingshu","",""
"2023/06/13 10:17:35 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 3","Did not happen","","USA","","","USA","","","1940, quarter 3","Attacked CSA","South Africa","Late 1939","1942, quarter 3","Reichspakt","Nobody","","1942, quarter 3","","","No","1940, quarter 1","","","","","CHA","Yes, successfully","Yes, was repelled","1940, quarter 1","","1940, quarter 1","No","Italian Republic/Federation","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 4","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Hejaz;Assyria;Cyprus;Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","Yes","Moscow Accord","1938, quarter 2","1941","Did not happen","1940, quarter 1","Nobody","","","1941","1941","1941","1940","Did not happen","No","Japan (FNG is ally)","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/13 10:17:54 PM GMT+4","Dev","The Alpha Dog","1945","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","TEX","","","1941, quarter 2","Attacked CSA","South Africa","Mid 1940","1942, quarter 4","Reichspakt","Reichspakt","","1942, quarter 4","1942, quarter 4","1943, quarter 1","No","1940, quarter 4","","","","","CHA","Yes, successfully","Yes, successfully","1940, quarter 3","","1940, quarter 3","No","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1937, quarter 4","The Cairo Pact","","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Wrangel (Dictator)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","No","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","1940, quarter 4","Nobody","","","Did not happen","Did not happen","Did not happen","1938","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Shandong Clique","Quarter 2, 1937","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/13 10:55:18 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1938, quarter 4","Did not happen","","CSA","","","","","CSA","1940, quarter 4","No","White peace","Late 1939","1945, quarter 3","Reichspakt","Nobody","","1945, quarter 3","","","Yes, during or after WK2","1940, quarter 1","1945, quarter 1","CSA","","","MLI;CHA","Yes, successfully","Yes, was repelled","1941, quarter 2","","1941, quarter 2","No","Italian Republic/Federation","Chile","1938, quarter 1","Did not happen","Pluralism","The Pact","1940, quarter 3","","The Cairo Pact","","","1939, quarter 3","Yes, but OTT still lost the war","Armenia;Cyrenaica","Bharatiya Commune","Kirill Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","No","Moscow Accord","1938, quarter 3","1940","Did not happen","1940, quarter 1","Nobody","","","1939","1938","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 1"
"2023/06/13 11:00:54 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 2","Did not happen","","TEX","","","","","TEX","1940, quarter 4","No","South Africa","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 3","","","","","NGR;CHA","Yes, was repelled","No","1940, quarter 2","","1940, quarter 2","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 3","Brazil","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Republic","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","No","Moscow Accord","1938, quarter 4","1940","Did not happen","1940, quarter 3","JAP","1943, quarter 2","","1939","1941","1941","1939","1940","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Ma Clique","1939","Nobody","Did not end","Avoided - Li Zongren","",""
"2023/06/13 11:11:49 PM GMT+4","Dev","The Alpha Dog","1944","Carlists","1939, quarter 3","Did not happen","","TEX","","","","","TEX","1940, quarter 4","No","White peace","Early 1940","1941, quarter 3","Reichspakt","Reichspakt","","1941, quarter 3","1942, quarter 3","1943, quarter 1","No","1942, quarter 3","","","1943, quarter 2","Reichspakt","NGR;CHA","Yes, successfully","No","1940, quarter 1","","1940, quarter 1","No","Two Sicilies","Chile","1939, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 1","No","Kurdistan;Armenia;Cyrenaica","Dominion of India","","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","No","Third Internationale","1939, quarter 1","1941","Did not happen","1940, quarter 1","Nobody","","","Did not happen","Did not happen","1939","1942","1943","Started by Japan","Nobody","Conquered only the coastal states","Nobody","Did not end","Ma Clique","1938","Nobody","Did not end","Avoided - Li Zongren","",""
"2023/06/13 11:12:07 PM GMT+4","Dev","The Alpha Dog","1947","CNT-FAI","1938, quarter 1","Did not happen","","NEE","","","","NEE","","1942, quarter 2","Sided with NEE","South Africa","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 2","","","1945, quarter 1","Cairo Pact","NGR;CHA","Yes, was repelled","Yes, was repelled","Did not join","","Did not join","","ANI Italy","Argentina","1939, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1939, quarter 3","No","Cyprus;Armenia;Tripolitania","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 3","Yan Xishan","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 3","1944","Did not happen","1940, quarter 3","JAP","1945, quarter 4","","Did not happen","1939","1944","Did not happen","Did not happen","No","Nobody","Conquered all of China","Kumul Khanate","1940","Mongolia and Tibet","1937","Nanjing Clique","Quarter 3, 1936","Avoided - Chen Mingshu","",""
"2023/06/14 7:34:27 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 2","GEA (with or without Vietnam)","1936, quarter 4","NEE","","NEE","","","","1943, quarter 1","Sided with NEE","South Africa","Mid 1940","1941, quarter 4","Reichspakt","Nobody","","1941, quarter 4","1943, quarter 4","","No","1944, quarter 3","","","1945, quarter 1","Reichspakt","NGR;CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Split between starting nations","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Tripolitania;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Shanxi Marches On","No","Market Liberal","Poland did not rebel","No","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","1940, quarter 3","JAP","1944, quarter 1","","Did not happen","Did not happen","Did not happen","1940","1941","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 1"
"2023/06/14 7:34:45 PM GMT+4","Dev","The Alpha Dog","1945","CNT-FAI","1937, quarter 3","Did not happen","","CSA","","","CSA","","","1941, quarter 2","Attacked CSA","South Africa","Mid 1940","1944, quarter 2","Internationale","Russia","1944, quarter 2","","","","Yes, during or after WK2","1940, quarter 2","1941, quarter 4","CSA","1941, quarter 2","FRA","CHA","Yes, was repelled","No","1940, quarter 3","1944, quarter 2","1940, quarter 3","Yes, during or after WK2","Socialist Republic of Italy, on its own","Chile","1938, quarter 3","Argentina","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","No","Kurdistan;Armenia;Cyrenaica","Dominion of India","Wrangel (Dictator)","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","No","Third Internationale","1938, quarter 1","Did not happen","Did not happen","1940, quarter 2","Nobody","","","Did not happen","1938","Did not happen","Did not happen","Did not happen","Started by Russia","Nobody","","Kumul Khanate","1937","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 2"
"2023/06/14 7:35:03 PM GMT+4","Dev","The Alpha Dog","1945","Carlists","1938, quarter 3","Indochina","1941, quarter 4","CSA","","","CSA","","","1941, quarter 4","No","White peace","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 3","1942, quarter 2","CSA","","","TUN;MLI;NGR;CHA","Yes, was repelled","No","1940, quarter 3","","1940, quarter 3","No","Split between starting nations","Argentina","1941, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia","Dominion of India","Republic","","","Yan Xishan","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Moscow Accord","1938, quarter 2","1943","Did not happen","1940, quarter 3","Nobody","","","1941","Did not happen","1942","Did not happen","1944","No","Nobody","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937","Yes","Chen Lianbo","1937, quarter 1"
"2023/06/14 7:35:21 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 4","Did not happen","","USA","USA","","","","","1938, quarter 4","No","White peace","Mid 1939","1942, quarter 4","Reichspakt","Reichspakt","","1942, quarter 4","1943, quarter 1","1941, quarter 3","No","1943, quarter 2","","","1944, quarter 2","Reichspakt","CHA","No","Yes, successfully","Did not join","","Did not join","","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1938, quarter 1","","The Cairo Pact","","","1941, quarter 1","No","Armenia;Cyrenaica","Split between starting nations","Socialist Revolt","Socialist Russia","1937, quarter 2","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 2","1939","Did not happen","1939, quarter 4","Nobody","","","1941","1938","1940","1940","Did not happen","Started by Japan","Japan (FNG is a puppet)","Conquered all of China","Kumul Khanate","1937","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/14 7:40:59 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 3","GEA (with or without Vietnam)","1939, quarter 2","USA","","","USA","","","1942, quarter 1","No","Natal","Early 1940","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","1944, quarter 2","1944, quarter 4","No","1940, quarter 2","","","","","CHA","No","Yes, successfully","1940, quarter 2","","1940, quarter 1","No","Split between starting nations","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1938, quarter 2","","The Cairo Pact","","","1940, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","Republic","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Authoritarian Democrat","Socialists","No","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","","Did not happen","","","1938","1940","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 4"
"2023/06/14 7:57:12 PM GMT+4","Dev","The Alpha Dog","1947","Carlists","1937, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1940, quarter 4","Sided with NEE","South Africa","Late 1940","1944, quarter 1","Reichspakt","Nobody","","1944, quarter 1","","","No","1940, quarter 4","","","","","MLI;CHA;VOL","Yes, successfully","No","1940, quarter 4","","1940, quarter 4","No","Italian Republic/Federation","Argentina","1939, quarter 1","Did not happen","Pluralism","The Pact","1937, quarter 2","","The Cairo Pact","","","1939, quarter 4","Yes, but OTT still lost the war","Armenia;Cyrenaica","Dominion of India","Dmitry Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","No","Reichspakt","1938, quarter 3","1943","Did not happen","1940, quarter 4","Nobody","","","1940","1944","1940","1940","1942","No","Nobody","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1937","Nobody","Did not end","Avoided - Li Zongren","",""
"2023/06/14 7:57:30 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1938, quarter 1","Did not happen","","CSA","","","CSA","","","1940, quarter 4","No","Natal","Late 1939","Did not end","Nobody","Nobody","","","1944, quarter 2","","Yes, during or after WK2","1940, quarter 1","1942, quarter 2","CSA","","","CHA","No","No","1939, quarter 4","","1939, quarter 4","No","Split between starting nations","Chile","1938, quarter 1","Brazil","Pluralism","The Pact","1937, quarter 4","","The Cairo Pact","","","1939, quarter 3","Yes, but OTT still lost the war","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","Kirill Romanov (Tsar)","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Poland did not rebel","Yes","Reichspakt","1938, quarter 4","After 1945","Did not happen","1939, quarter 4","JAP","1943, quarter 4","","After 1945","1938","After 1945","1945","Did not happen","No","Nobody","Could not push into China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936","Avoided - Li Zongren","",""
"2023/06/15 6:47:19 PM GMT+4","Dev","The Alpha Dog","1946","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 2","CSA","","","","","CSA","1940, quarter 3","Sided with NEE","","Mid 1940","1940, quarter 4","Reichspakt","Reichspakt","","1940, quarter 4","","","Yes, during or after WK2","1940, quarter 2","1943, quarter 1","CSA","","","NGR;CHA","No","No","1940, quarter 2","","1940, quarter 2","No","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1938, quarter 3","","The Cairo Pact","","","1945, quarter 4","No","Kurdistan;Armenia","Puppeted by a foreign power","Dmitry Romanov (Tsar)","","","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","No","Reichspakt","1938, quarter 4","1942","Did not happen","1940, quarter 3","JAP","1944, quarter 4","","1940","Before 1938","1940","1939","1943","No","Fengtian alone","Conquered all of China","Xinjiang Clique","1937","Mongolia and Tibet","1938","Shandong Clique","Quarter 1, 1937","Yes","Chen Jiongming","1937, quarter 3"
"2023/06/15 6:47:39 PM GMT+4","Dev","The Alpha Dog","1946","CNT-FAI","1937, quarter 4","Indochina","1938, quarter 4","TEX","","","","","TEX","1941, quarter 2","Attacked CSA","","Early 1940","1940, quarter 4","Reichspakt","Reichspakt","","1940, quarter 4","1943, quarter 4","1943, quarter 4","Yes, during or after WK2","1943, quarter 4","1946, quarter 1","TEX","1945, quarter 1","Reichspakt","TUN;MLI;NGR;CHA;VOL","No","Yes, successfully","Did not join","","Did not join","","Split between starting nations","Chile","1938, quarter 3","Did not happen","Pluralism","The Pact","1939, quarter 1","The Cairo Pact","","","","1939, quarter 2","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1936, quarter 3","Yan Xishan","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 2","1941","Did not happen","1940, quarter 2","Nobody","","","1945","1945","Did not happen","1938","Did not happen","Started by Japan","Nobody","Could not push into China","Nobody","Did not end","Nobody","Did not end","Anqing Clique","Quarter 1, 1937","Avoided - Chen Mingshu","",""
"2023/06/15 6:47:57 PM GMT+4","Dev","The Alpha Dog","1944","Carlists","1938, quarter 4","GEA (with or without Vietnam)","1936, quarter 4","PSA","","","PSA","","","1940, quarter 3","Sided with PSA","South Africa","Early 1940","1941, quarter 4","Reichspakt","Nobody","","1941, quarter 4","","","No","1940, quarter 2","","","","","CHA","Yes, successfully","Yes, was repelled","1940, quarter 2","","1940, quarter 2","No","Two Sicilies","Argentina","1939, quarter 2","Did not happen","Pluralism","The Pact","1937, quarter 2","","The Cairo Pact","","","1939, quarter 3","Yes, but OTT still lost the war","Kurdistan;Assyria;Armenia;Cyrenaica","Princely Federation/Hyderabad","Savinkov","","","Yan Xishan","Recognize the Central Government","No","Market Liberal","Poland did not rebel","No","Reichspakt","1938, quarter 2","1942","Did not happen","1940, quarter 3","JAP","1943, quarter 1","","Did not happen","1942","Did not happen","Did not happen","Did not happen","No","Japan (FNG is ally)","Conquered all of China","Nobody","Did not end","Mongolia and Tibet","1937","Nanjing Clique","Quarter 4, 1936","Avoided - Chen Mingshu","",""
